"","GRN","COAL","LAB","ID","beta","type","type2"
"192",0.666666666666667,1,0,9208047,0.666666666666667,"COAL.GRN.LAB","COAL.GRN.LAB"
"193",0.444444444444444,1,0,9497314,0.444444444444444,"COAL.GRN.LAB","COAL.GRN.LAB"
"194",0,0.5,1,9566392,0.5,"LAB.COAL.GRN","LAB.COAL.GRN"
"195",1,0,0.733333333333333,4977519,0.733333333333333,"GRN.LAB.COAL","GRN.LAB.COAL"
"196",0.75,0,1,4999470,0.75,"LAB.GRN.COAL","LAB.GRN.COAL"
"197",1,0,0.571428571428571,5277176,0.571428571428571,"GRN.LAB.COAL","GRN.LAB.COAL"
"198",1,0.166666666666667,0,5290259,0.166666666666667,"GRN.COAL.LAB","GRN.COAL.LAB"
"199",0,0.8,1,6101602,0.8,"LAB.COAL.GRN","LAB.COAL.GRN"
"200",0,0.25,1,6365382,0.25,"LAB.COAL.GRN","LAB.COAL.GRN"
"201",0.888888888888889,1,0,7135343,0.888888888888889,"COAL.GRN.LAB","COAL.GRN.LAB"
"202",0.166666666666667,0,1,8092271,0.166666666666667,"LAB.GRN.COAL","LAB.GRN.COAL"
"203",1,0,0.666666666666667,8178474,0.666666666666667,"GRN.LAB.COAL","GRN.LAB.COAL"
"204",0.833333333333333,1,0,8518133,0.833333333333333,"COAL.GRN.LAB","COAL.GRN.LAB"
"205",0.5,1,0,8556680,0.5,"COAL.GRN.LAB","COAL.GRN.LAB"
"206",0,0.5,1,9529110,0.5,"LAB.COAL.GRN","LAB.COAL.GRN"
"207",0,1,0.4,1093300,0.4,"COAL.LAB.GRN","COAL.LAB.GRN"
"208",0.666666666666667,0,1,1095567,0.666666666666667,"LAB.GRN.COAL","LAB.GRN.COAL"
"209",1,0,0.888888888888889,1142374,0.888888888888889,"GRN.LAB.COAL","GRN.LAB.COAL"
"210",0,1,0.714285714285714,1160549,0.714285714285714,"COAL.LAB.GRN","COAL.LAB.GRN"
"211",1,0,0.6,1224302,0.6,"GRN.LAB.COAL","GRN.LAB.COAL"
"212",0,0.666666666666667,1,1224650,0.666666666666667,"LAB.COAL.GRN","LAB.COAL.GRN"
"213",1,0,0.5,1286922,0.5,"GRN.LAB.COAL","GRN.LAB.COAL"
"214",0.666666666666667,1,0,1293415,0.666666666666667,"COAL.GRN.LAB","COAL.GRN.LAB"
"215",0,1,0.428571428571429,1320172,0.428571428571429,"COAL.LAB.GRN","COAL.LAB.GRN"
"216",0.444444444444444,1,0,3708651,0.444444444444444,"COAL.GRN.LAB","COAL.GRN.LAB"
"217",0,0.25,1,3822956,0.25,"LAB.COAL.GRN","LAB.COAL.GRN"
"218",0.875,0,1,3857491,0.875,"LAB.GRN.COAL","LAB.GRN.COAL"
"219",0,0.625,1,4305139,0.625,"LAB.COAL.GRN","LAB.COAL.GRN"
"220",0,0.5,1,4474606,0.5,"LAB.COAL.GRN","LAB.COAL.GRN"
"221",0.8,0,1,5721383,0.8,"LAB.GRN.COAL","LAB.GRN.COAL"
"222",0,0.214285714285714,1,5860115,0.214285714285714,"LAB.COAL.GRN","LAB.COAL.GRN"
"223",0,1,0.833333333333333,6827525,0.833333333333333,"COAL.LAB.GRN","COAL.LAB.GRN"
"224",0,1,0.142857142857143,6924019,0.142857142857143,"COAL.LAB.GRN","COAL.LAB.GRN"
"225",1,0,0.555555555555556,7072712,0.555555555555556,"GRN.LAB.COAL","GRN.LAB.COAL"
